$FragmentGroup	$*Date	#?SubcycleOffset	$?Style	#?Priority	$?Colour	$*?Propers	$?Name	$?AlternativeName	$Behaviour
EpiphanySunday	E-56	_	_	_	_	EpiphanyPaenultima	_	World Mission Sunday	Append
AllSaints	11/1 (not on 11/1→Sun)	_	_	_	_	AllSaintsWeekday	_	_	Append
Proper	5/8→Sun	_	_	_	_	Proper1	_	_	Append
Proper	5/15→Sun	_	_	_	_	Proper2	_	_	Append
Proper	5/22→Sun	_	_	_	_	Proper3	_	_	Append
Proper	5/29→Sun	_	_	_	_	Proper4	_	_	Append
Proper	6/5→Sun	_	_	_	_	Proper5	_	_	Append
Proper	6/12→Sun	_	_	_	_	Proper6	_	_	Append
Proper	6/19→Sun	_	_	_	_	Proper7	_	_	Append
Proper	6/26→Sun	_	_	_	_	Proper8	_	_	Append
Proper	7/3→Sun	_	_	_	_	Proper9	_	_	Append
Proper	7/10→Sun	_	_	_	_	Proper10	_	_	Append
Proper	7/17→Sun	_	_	_	_	Proper11	_	_	Append
Proper	7/24→Sun	_	_	_	_	Proper12	_	_	Append
Proper	7/31→Sun	_	_	_	_	Proper13	_	_	Append
Proper	8/7→Sun	_	_	_	_	Proper14	_	_	Append
Proper	8/14→Sun	_	_	_	_	Proper15	_	_	Append
Proper	8/21→Sun	_	_	_	_	Proper16	_	_	Append
Proper	8/28→Sun	_	_	_	_	Proper17	_	_	Append
Proper	9/4→Sun	_	_	_	_	Proper18	_	_	Append
Proper	9/11→Sun	_	_	_	_	Proper19	_	_	Append
Proper	9/18→Sun	_	_	_	_	Proper20	_	_	Append
Proper	9/25→Sun	_	_	_	_	Proper21	_	_	Append
Proper	10/2→Sun	_	_	_	_	Proper22	_	_	Append
Proper	10/9→Sun	_	_	_	_	Proper23	_	_	Append
Proper	10/16→Sun	_	_	_	_	Proper24	_	_	Append
Proper	10/23→Sun	_	_	_	_	Proper25	_	_	Append
Proper	10/30→Sun	_	_	_	_	Proper26	_	_	Append
Proper	11/6→Sun	_	_	_	_	Proper27	_	_	Append
Proper	11/13→Sun	_	_	_	_	Proper28	_	_	Append
