$Handle	$*Date	#SubcycleOffset	$Style	#Priority	$?Colour	$*?Propers	$?Name	$?AlternativeName	$*?ImportableFragments
AdventI	11/27→Sun	1	Sunday	2	Purple	AdventI	The First Sunday in Advent	Advent Sunday	_
AdventII	12/4→Sun	1	Sunday	2	Purple	AdventII	The Second Sunday in Advent	_	_
AdventIII	12/11→Sun	1	Sunday	2	Rose	AdventIII	The Third Sunday in Advent	Gaudete Sunday	_
AdventIV	12/18→Sun	1	Sunday	2	Purple	AdventIV	The Fourth Sunday in Advent	Annunciation Sunday	_
ChristmasEve	12/24	1	SeasonDay	7	White	ChristmasEve	Christmas Eve	_	_
Christmas	12/25	1	Principal	0	White	Christmas	The Nativity of Our Lord Jesus Christ	Christmas Day	_
ChristmasI	12/25→Sun (not on 12/25)	1	Sunday	5	White	ChristmasI	The First Sunday of Christmas	_	_
ChristmasII	1/1→Sun (before 1/6)	0	Sunday	5	White	ChristmasII	The Second Sunday of Christmas	_	_
Epiphany	1/6	0	Principal	0	White	Epiphany	The Epiphany of Our Lord Jesus Christ	_	_
EpiphanyI	1/7→Sun	0	Sunday	5	Green	EpiphanyI	The First Sunday of Epiphany	The Baptism of Our Lord Jesus Christ	_
EpiphanyII	1/14→Sun	0	Sunday	5	Green	EpiphanyII	The Second Sunday of Epiphany	_	_
EpiphanyIII	1/21→Sun	0	Sunday	5	Green	EpiphanyIII	The Third Sunday of Epiphany	_	EpiphanySunday
EpiphanyIV	1/28→Sun (before E-49)	0	Sunday	5	Green	EpiphanyIV	The Fourth Sunday of Epiphany	_	EpiphanySunday
EpiphanyV	2/4→Sun (before E-49)	0	Sunday	5	Green	EpiphanyV	The Fifth Sunday of Epiphany	_	EpiphanySunday
EpiphanyVI	2/11→Sun (before E-49)	0	Sunday	5	Green	EpiphanyVI	The Sixth Sunday of Epiphany	_	EpiphanySunday
EpiphanyVII	2/18→Sun (before E-49)	0	Sunday	5	Green	EpiphanyVII	The Seventh Sunday of Epiphany	_	EpiphanySunday
EpiphanyVIII	2/25→Sun (before E-49)	0	Sunday	5	Green	EpiphanyVIII	The Eighth Sunday of Epiphany	_	EpiphanySunday
EpiphanyUltima	E-49	0	Sunday	5	Green	EpiphanyUltima	The Last Sunday of Epiphany	Transfiguration Sunday	_
AshWednesday	E-46	0	Major	3	Purple	AshWednesday	Ash Wednesday	_	_
LentI	E-42	0	Sunday	2	Purple	LentI	The First Sunday in Lent	_	_
LentII	E-35	0	Sunday	2	Purple	LentII	The Second Sunday in Lent	_	_
LentIII	E-28	0	Sunday	2	Purple	LentIII	The Third Sunday in Lent	_	_
LentIV	E-21	0	Sunday	2	Rose	LentIV	The Fourth Sunday in Lent	Laetare Sunday	_
LentV	E-14	0	Sunday	2	Purple	LentV	The Fifth Sunday in Lent	Passion Sunday	_
PalmSunday	E-7	0	Sunday	2	Red	PalmSunday	Palm Sunday	_	_
HolyMonday	E-6	0	SeasonDay	3	Red	HolyMonday	Monday of Holy Week	_	_
HolyTuesday	E-5	0	SeasonDay	3	Red	HolyTuesday	Tuesday of Holy Week	_	_
HolyWednesday	E-4	0	SeasonDay	3	Red	HolyWednesday	Wednesday of Holy Week	_	_
MaundyThursday	E-3	0	Major	3	White	MaundyThursday	Maundy Thursday	_	_
GoodFriday	E-2	0	Major	3	Red	GoodFriday	Good Friday	_	_
HolySaturday	E-1	0	SeasonDay	3	Red	HolySaturday	Holy Saturday	_	_
EasterEve	E-1	0	SeasonDay	7	White	EasterEve	Easter Eve	_	_
Easter	E	0	Principal	0	White	Easter	Easter Day	_	_
EasterMonday	E+1	0	SeasonDay	3	White	EasterMonday	Monday of Easter Week	_	_
EasterTuesday	E+2	0	SeasonDay	3	White	EasterTuesday	Tuesday of Easter Week	_	_
EasterWednesday	E+3	0	SeasonDay	3	White	EasterWednesday	Wednesday of Easter Week	_	_
EasterThursday	E+4	0	SeasonDay	3	White	EasterThursday	Thursday of Easter Week	_	_
EasterFriday	E+5	0	SeasonDay	3	White	EasterFriday	Friday of Easter Week	_	_
EasterSaturday	E+6	0	SeasonDay	3	White	EasterSaturday	Saturday of Easter Week	_	_
EasterII	E+7	0	Sunday	2	White	EasterII	The Second Sunday of Easter	_	_
EasterIII	E+14	0	Sunday	2	White	EasterIII	The Third Sunday of Easter	_	_
EasterIV	E+21	0	Sunday	2	White	EasterIV	The Fourth Sunday of Easter	Good Shepherd Sunday	_
EasterV	E+28	0	Sunday	2	White	EasterV	The Fifth Sunday of Easter	_	_
EasterVI	E+35	0	Sunday	2	White	EasterVI	The Sixth Sunday of Easter	Rogation Sunday	_
Ascension	E+39	0	Principal	0	White	Ascension	Ascension Day	_	_
EasterVII	E+42	0	Sunday	2	White	EasterVII	The Seventh Sunday of Easter	_	_
Pentecost	E+49	0	Principal	0	Red	Pentecost	The Day of Pentecost	Whitsunday	_
TrinitySunday	E+56	0	Principal	0	White	TrinitySunday	Trinity Sunday	_	_
AfterPentecostII	E+63	0	Sunday	5	Green	_	The Second Sunday After Pentecost	_	Proper
AfterPentecostIII	E+70	0	Sunday	5	Green	_	The Third Sunday After Pentecost	_	Proper
AfterPentecostIV	E+77	0	Sunday	5	Green	_	The Fourth Sunday After Pentecost	_	Proper
AfterPentecostV	E+84	0	Sunday	5	Green	_	The Fifth Sunday After Pentecost	_	Proper
AfterPentecostVI	E+91	0	Sunday	5	Green	_	The Sixth Sunday After Pentecost	_	Proper
AfterPentecostVII	E+98	0	Sunday	5	Green	_	The Seventh Sunday After Pentecost	_	Proper
AfterPentecostVIII	E+105	0	Sunday	5	Green	_	The Eighth Sunday After Pentecost	_	Proper
AfterPentecostIX	E+112	0	Sunday	5	Green	_	The Ninth Sunday After Pentecost	_	Proper
AfterPentecostX	E+119	0	Sunday	5	Green	_	The Tenth Sunday After Pentecost	_	Proper
AfterPentecostXI	E+126	0	Sunday	5	Green	_	The Eleventh Sunday After Pentecost	_	Proper
AfterPentecostXII	E+133	0	Sunday	5	Green	_	The Twelfth Sunday After Pentecost	_	Proper
AfterPentecostXIII	E+140	0	Sunday	5	Green	_	The Thirteenth Sunday After Pentecost	_	Proper
AfterPentecostXIV	E+147	0	Sunday	5	Green	_	The Fourteenth Sunday After Pentecost	_	Proper
AfterPentecostXV	E+154	0	Sunday	5	Green	_	The Fifteenth Sunday After Pentecost	_	Proper
AfterPentecostXVI	E+161	0	Sunday	5	Green	_	The Sixteenth Sunday After Pentecost	_	Proper
AfterPentecostXVII	E+168	0	Sunday	5	Green	_	The Seventeenth Sunday After Pentecost	_	Proper
AfterPentecostXVIII	E+175	0	Sunday	5	Green	_	The Eighteenth Sunday After Pentecost	_	Proper
AfterPentecostXIX	E+182	0	Sunday	5	Green	_	The Nineteenth Sunday After Pentecost	_	Proper
AfterPentecostXX	E+189	0	Sunday	5	Green	_	The Twentieth Sunday After Pentecost	_	Proper
AfterPentecostXXI	E+196	0	Sunday	5	Green	_	The Twenty-First Sunday After Pentecost	_	Proper
AfterPentecostXXII	E+203	0	Sunday	5	Green	_	The Twenty-Second Sunday After Pentecost	_	Proper
AfterPentecostXXIII	E+210 (before 11/20→Sun)	0	Sunday	5	Green	_	The Twenty-Third Sunday After Pentecost	_	Proper
AfterPentecostXXIV	E+217 (before 11/20→Sun)	0	Sunday	5	Green	_	The Twenty-Fourth Sunday After Pentecost	_	Proper
AfterPentecostXXV	E+224 (before 11/20→Sun)	0	Sunday	5	Green	_	The Twenty-Fifth Sunday After Pentecost	_	Proper
AfterPentecostXXVI	E+231 (before 11/20→Sun)	0	Sunday	5	Green	_	The Twenty-Sixth Sunday After Pentecost	_	Proper
AfterPentecostXXVII	E+238 (before 11/20→Sun)	0	Sunday	5	Green	_	The Twenty-Seventh Sunday After Pentecost	_	Proper
AfterPentecostUltima	11/20→Sun	0	Sunday	5	Green	Proper29	The Last Sunday After Pentecost	Christ the King	_
Andrew	11/30	1	Major	4	Red	Andrew	Andrew the Apostle	Andermas	_
Thomas	12/21	1	Major	4	Red	Thomas	Thomas the Apostle	_	_
Stephen	12/26	1	Major	4	Red	Stephen	Stephen, Deacon and Martyr	_	_
John	12/27	1	Major	4	White	John	John, Apostle and Evangelist	_	_
HolyInnocents	12/28	1	Major	4	Red	HolyInnocents	The Holy Innocents	Childermas	_
HolyName	1/1	0	Major	4	White	HolyName	The Circumcision and Holy Name of Our Lord Jesus Christ	_	_
ConfessionOfPeter	1/18	0	Major	4	White	Peter	Confession of Peter the Apostle	_	_
ConversionOfPaul	1/25	0	Major	4	White	Paul	Conversion of Paul the Apostle	_	_
Presentation	2/2	0	Major	4	White	Presentation	The Presentation of Our Lord Jesus Christ in the Temple	Candlemas	_
Matthias	2/24	0	Major	4	Red	Matthias	Matthias the Apostle	_	_
Joseph	3/19	0	Major	4	White	Joseph	Joseph, Husband of the Virgin Mary and Guardian of Jesus	_	_
Annunciation	3/25	0	Major	4	White	Annunciation	The Annunciation of Our Lord Jesus Christ to the Virgin Mary	Lady Day	_
Mark	4/25	0	Major	4	Red	Mark	Mark the Evangelist	_	_
PhilipJames	5/1	0	Major	4	Red	PhilipJames	Philip and James, Apostles	_	_
Visitation	5/31	0	Major	4	White	Visitation	The Visitation of the Virgin Mary to Elizabeth and Zechariah	_	_
Barnabas	6/11	0	Major	4	Red	Barnabas	Barnabas the Apostle	_	_
NativityOfJohnTheBaptist	6/24	0	Major	4	White	JohnTheBaptist	The Nativity of John the Baptist	Midsummer Day	_
PeterPaul	6/29	0	Major	4	Red	PeterPaul	Peter and Paul, Apostles	_	_
MaryMagdalene	7/22	0	Major	4	White	MaryMagdalene	Mary Magdalene	_	_
JamesSonOfZebedee	7/25	0	Major	4	Red	James	James the Elder, Apostle	_	_
Transfiguration	8/6	0	Major	4	White	Transfiguration	The Transfiguration of Our Lord Jesus Christ	_	_
Mary	8/15	0	Major	4	White	Mary	The Virgin Mary, Mother of Our Lord Jesus Christ	_	_
Bartholomew	8/24	0	Major	4	Red	Bartholomew	Bartholomew the Apostle	_	_
HolyCrossDay	9/14	0	Major	4	Red	HolyCrossDay	Holy Cross Day	_	_
Matthew	9/21	0	Major	4	Red	Matthew	Matthew, Apostle and Evangelist	_	_
Michael	9/29	0	Major	4	White	Michael	Holy Michael and All Angels	Michaelmas	_
Luke	10/18	0	Major	4	Red	Luke	Luke the Evangelist and Companion of Paul	_	_
